CP,MA,MACD,K,D,R,Trend
283.1799927,0.600727479,0.064658488,0.329202496,0.468022213,-0.238447727,1
284.9500122,0.60399191,0.066000072,0.369641998,0.480956936,-0.278619638,0
284.3900146,0.606902621,0.065805892,0.313876809,0.518645113,-0.222586859,1
286.8200073,0.610524167,0.06756499,0.341090411,0.524735078,-0.249532871,1
290.4700012,0.615133173,0.072122617,0.368279137,0.524036243,-0.276454007,0
290.4700012,0.620022969,0.074971627,0.36852953,0.552035963,-0.276436812,1
290.8399963,0.624562435,0.076839868,0.354964823,0.55914363,-0.262604517,1
292.3399963,0.629379956,0.079110772,0.383376567,0.566877879,-0.290748674,1
293.1799927,0.633998827,0.080975611,0.358841701,0.561913847,-0.265946222,1
294.3900146,0.637934029,0.08289182,0.370963769,0.570109967,-0.277800704,0
292.4299927,0.641567272,0.081482462,0.281829935,0.518083762,-0.188399286,1
293.269989,0.644795462,0.080436915,0.314572513,0.495402667,-0.220874279,0
293.0799866,0.648252378,0.078602007,0.307441519,0.462857649,-0.213475702,1
293.5499878,0.651634691,0.076865808,0.325866452,0.485418428,-0.231633052,0
293.3599854,0.654917988,0.07453061,0.31874004,0.487553035,-0.224239058,1
294.019989,0.658833695,0.072649425,0.326355879,0.497242907,-0.231587316,1
296.0700073,0.662271329,0.072612199,0.386180856,0.528143319,-0.291144712,1
296.1700134,0.665786063,0.071963668,0.326088966,0.531907804,-0.230785243,0
294.2099915,0.669480878,0.068670224,0.203827926,0.469132252,-0.108256624,1
294.5799866,0.671987718,0.065799468,0.162625243,0.354597115,-0.066786362,0
293.5499878,0.673606802,0.061815712,0.089002506,0.233129841,0.007103952,0
293.269989,0.674947312,0.057796165,0.069075375,0.164091617,0.027298661,1
294.3900146,0.676112082,0.055271337,0.069397858,0.116328135,0.027243753,0
292.0599976,0.677174188,0.050306931,-0.148482658,-0.005343108,0.245391845,0
